status,record_id,skip_reason,state_code,year,title,url,place_name,date_band
skipped,432,duplicate_existing_record,NSW,2011,"Grafton, New South Wales 2011",https://www.yowiehunters.com.au/new-south-wales/1555-grafton-new-south-wales-2011,,modern_1970_present
skipped,433,duplicate_existing_record,QLD,1989,"Redbank Plains, Queensland 1989",https://www.yowiehunters.com.au/queensland/1935-redbank-plains-queensland-1989,,modern_1970_present
inserted,830,,NSW,1977,1977 - Hairy Man of South East Australia,https://www.yowiehunters.com.au/historical-articles/1647-hairy-man-of-south-east-australia-1977,New South Wales,modern_1970_present
skipped,434,duplicate_existing_record,NSW,1998,"Grassy Head / Stuarts Point, New South Wales 1998",https://www.yowiehunters.com.au/new-south-wales/2132-grassy-head-stuarts-point-new-south-wales-1998,,modern_1970_present
skipped,435,duplicate_existing_record,QLD,2009,"Rockhampton, Queensland 2009",https://www.yowiehunters.com.au/queensland/1324-rockhampton-qld-2009,,modern_1970_present
inserted,831,,NSW,1978,"1978 - Bilambil Yowie Article, Daily News",https://www.yowiehunters.com.au/historical-articles/1606-bilambil-yowie-article-daily-news-1978,New South Wales,modern_1970_present
skipped,436,duplicate_existing_record,NSW,2004,"Grays Point, New South Wales 2004",https://www.yowiehunters.com.au/new-south-wales/1837-grays-point-new-south-wales-2004,,modern_1970_present
skipped,437,duplicate_existing_record,QLD,2018,"Roma, Queensland 2018",https://www.yowiehunters.com.au/queensland/1981-roma-queensland-2018,,modern_1970_present
inserted,832,,QLD,1979,1979 - Kilkivan Yowie Article,https://www.yowiehunters.com.au/historical-articles/1605-kilkivan-yowie-article-1979,Queensland,modern_1970_present
skipped,438,duplicate_existing_record,NSW,2013,"Grenfell, New South Wales 2013",https://www.yowiehunters.com.au/new-south-wales/1842-grenfell-new-south-wales-2013,,modern_1970_present
skipped,439,duplicate_existing_record,QLD,1996,"Sarina, Queensland 1996",https://www.yowiehunters.com.au/queensland/2093-sarina-queensland-1996,,modern_1970_present
skipped,,missing_card_ready_fields,AU,1981,1981 - Old Torrington (Book),https://www.yowiehunters.com.au/historical-articles/1913-1981-old-torrington-book,,modern_1970_present
skipped,440,duplicate_existing_record,NSW,2000,"Hannam Vale, New South Wales 2000",https://www.yowiehunters.com.au/new-south-wales/1561-hannam-vale-new-south-wales-2000,,modern_1970_present
skipped,441,duplicate_existing_record,QLD,1980,"Slacks Creek, Queensland 1980",https://www.yowiehunters.com.au/queensland/1950-slacks-creek-queensland-1980,,modern_1970_present
skipped,,missing_card_ready_fields,AU,1984,1984 - Explanation of Term 'Yahoo' - G. Joyner,https://www.yowiehunters.com.au/historical-articles/1903-1984-explanation-of-term-yahoo-g-joyner,,modern_1970_present
skipped,442,duplicate_existing_record,NSW,2015,"Hartley, New South Wales 2015",https://www.yowiehunters.com.au/new-south-wales/1813-hartley-new-south-wales-2015,,modern_1970_present
skipped,443,duplicate_existing_record,QLD,1977,"Springbrook, Queensland 1977",https://www.yowiehunters.com.au/queensland/1325-springbrook-qld-1977,,modern_1970_present
inserted,833,,ACT,1985,1985 - International Society of Cryptozoology Report,https://www.yowiehunters.com.au/historical-articles/2294-1985-international-society-of-cryptozoology-report,Australian Capital Territory,modern_1970_present
skipped,444,duplicate_existing_record,NSW,1994,"Hazelbrook, New South Wales 1994",https://www.yowiehunters.com.au/new-south-wales/1397-hazelbrook-new-south-wales-1995,,modern_1970_present
skipped,445,duplicate_existing_record,QLD,1978,"Springbrook, Queensland 1978",https://www.yowiehunters.com.au/queensland/1326-springbrook-qld-1978,,modern_1970_present
skipped,,missing_card_ready_fields,AU,1986,"1986 - Yahoo, Yowie, Reports of Australian Hairy Bipeds",https://www.yowiehunters.com.au/historical-articles/1902-1986-yahoo-the-yowie-and-reports-of-australian-hairy-bipeds,,modern_1970_present
skipped,446,duplicate_existing_record,NSW,2001,"Hazelbrook, New South Wales 2001",https://www.yowiehunters.com.au/new-south-wales/1398-hazelbrook-new-south-wales-2001,,modern_1970_present
skipped,447,duplicate_existing_record,QLD,1978,"Springbrook, Queensland 1978",https://www.yowiehunters.com.au/queensland/1327-springbrook-qld-1978-sp-22191,,modern_1970_present
inserted,834,,NT,1987,1987 - Yambah Station Yowie Article,https://www.yowiehunters.com.au/historical-articles/1608-yambah-station-yowie-article-1987,Northern Territory,modern_1970_present
skipped,448,duplicate_existing_record,NSW,1994,"Helensburgh, New South Wales 1994",https://www.yowiehunters.com.au/new-south-wales/1961-helensburgh-new-south-wales-1994,,modern_1970_present
skipped,449,duplicate_existing_record,QLD,1982,"Springbrook, Queensland 1982",https://www.yowiehunters.com.au/queensland/1329-springbrook-qld-1982,,modern_1970_present
