query_id,query_string,date_start,date_end,source_name,expected_noise_level,manual_search_url,notes
104,"""Hairy Man of the Wood""",1970,present,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Hairy Man."
105,"""Yaroma""",1803,1841,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,Retrospective Trove backsearch window; generated from alias Yaroma.
106,"""Yaroma""",1803,1841,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,Retrospective Trove backsearch window; generated from alias Yaroma.
107,"""Yaroma""",1842,1875,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,Early anchor period; generated from alias Yaroma.
108,"""Yaroma""",1842,1875,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,Early anchor period; generated from alias Yaroma.
109,"""Yaroma""",1876,1969,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,Pre-modern newspaper and publication expansion; generated from alias Yaroma.
110,"""Yaroma""",1876,1969,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,Pre-modern newspaper and publication expansion; generated from alias Yaroma.
115,"""Yaroma""",1970,present,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yaroma."
116,"""Yaroma""",1970,present,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yaroma%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yaroma."
117,"""Yara-ma-yha-who""",1803,1841,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,Retrospective Trove backsearch window; generated from alias Yara-ma-yha-who.
118,"""Yara-ma-yha-who""",1803,1841,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,Retrospective Trove backsearch window; generated from alias Yara-ma-yha-who.
119,"""Yara-ma-yha-who""",1842,1875,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,Early anchor period; generated from alias Yara-ma-yha-who.
120,"""Yara-ma-yha-who""",1842,1875,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,Early anchor period; generated from alias Yara-ma-yha-who.
121,"""Yara-ma-yha-who""",1876,1969,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,Pre-modern newspaper and publication expansion; generated from alias Yara-ma-yha-who.
122,"""Yara-ma-yha-who""",1876,1969,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,Pre-modern newspaper and publication expansion; generated from alias Yara-ma-yha-who.
127,"""Yara-ma-yha-who""",1970,present,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yara-ma-yha-who."
128,"""Yara-ma-yha-who""",1970,present,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yara-ma-yha-who."
129,"""Yara-ma-tha-who""",1803,1841,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,Retrospective Trove backsearch window; generated from alias Yara-ma-tha-who.
130,"""Yara-ma-tha-who""",1803,1841,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,Retrospective Trove backsearch window; generated from alias Yara-ma-tha-who.
131,"""Yara-ma-tha-who""",1842,1875,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,Early anchor period; generated from alias Yara-ma-tha-who.
132,"""Yara-ma-tha-who""",1842,1875,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,Early anchor period; generated from alias Yara-ma-tha-who.
133,"""Yara-ma-tha-who""",1876,1969,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,Pre-modern newspaper and publication expansion; generated from alias Yara-ma-tha-who.
134,"""Yara-ma-tha-who""",1876,1969,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,Pre-modern newspaper and publication expansion; generated from alias Yara-ma-tha-who.
139,"""Yara-ma-tha-who""",1970,present,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yara-ma-tha-who."
140,"""Yara-ma-tha-who""",1970,present,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-tha-who%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yara-ma-tha-who."
141,"""Mimih""",1803,1841,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Retrospective Trove backsearch window; generated from alias Mimi.
142,"""Mimih""",1803,1841,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Retrospective Trove backsearch window; generated from alias Mimi.
143,"""Mimih""",1842,1875,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Early anchor period; generated from alias Mimih.
144,"""Mimih""",1842,1875,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Early anchor period; generated from alias Mimih.
145,"""Mimih""",1876,1969,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Pre-modern newspaper and publication expansion; generated from alias Mimih.
146,"""Mimih""",1876,1969,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Pre-modern newspaper and publication expansion; generated from alias Mimih.
151,"""Mimih""",1970,present,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Mimih."
152,"""Mimih""",1970,present,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Mimih."
153,"""Mimi"" AND (spirit OR spirits OR Aboriginal OR Arnhem OR ""rock art"" OR Mimih)",1803,1841,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimi%22+AND+%28spirit+OR+spirits+OR+Aboriginal+OR+Arnhem+OR+%22rock+art%22+OR+Mimih%29,Retrospective Trove backsearch window; generated from alias Mimi.
154,"""Mimi"" AND (spirit OR spirits OR Aboriginal OR Arnhem OR ""rock art"" OR Mimih)",1803,1841,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimi%22+AND+%28spirit+OR+spirits+OR+Aboriginal+OR+Arnhem+OR+%22rock+art%22+OR+Mimih%29,Retrospective Trove backsearch window; generated from alias Mimi.
155,"""Mimi"" AND (spirit OR spirits OR Aboriginal OR Arnhem OR ""rock art"" OR Mimih)",1842,1875,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimi%22+AND+%28spirit+OR+spirits+OR+Aboriginal+OR+Arnhem+OR+%22rock+art%22+OR+Mimih%29,Early anchor period; generated from alias Mimi.
156,"""Mimi"" AND (spirit OR spirits OR Aboriginal OR Arnhem OR ""rock art"" OR Mimih)",1842,1875,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimi%22+AND+%28spirit+OR+spirits+OR+Aboriginal+OR+Arnhem+OR+%22rock+art%22+OR+Mimih%29,Early anchor period; generated from alias Mimi.
157,"""Mimih""",1842,1875,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Early anchor period; generated from alias Mimi.
158,"""Mimih""",1842,1875,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimih%22,Early anchor period; generated from alias Mimi.
159,"""Mimi"" AND (spirit OR spirits OR Aboriginal OR Arnhem OR ""rock art"" OR Mimih)",1876,1969,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Mimi%22+AND+%28spirit+OR+spirits+OR+Aboriginal+OR+Arnhem+OR+%22rock+art%22+OR+Mimih%29,Pre-modern newspaper and publication expansion; generated from alias Mimi.
