generated_at,url,http_status,title,text_length,matched_terms,supernatural_terms,person_form_terms,lead_status,review_note,snippet
2026-06-21T14:34:35+00:00,https://libraries.tas.gov.au/communityoacs/devonport-online-access-centre/,200,Devonport online access centre - Libraries Tasmania,5814,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Devonport online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support "
2026-06-21T14:34:35+00:00,https://libraries.tas.gov.au/communityoacs/dover-online-access-centre/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /communityoacs/dover-online-access-centre/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T14:34:36+00:00,https://libraries.tas.gov.au/communityoacs/fingal-online-access-centre/,200,Fingal online access centre - Libraries Tasmania,5696,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Fingal online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support wit"
2026-06-21T14:34:36+00:00,https://libraries.tas.gov.au/communityoacs/glenora-online-access-centre/,200,Glenora online access centre - Libraries Tasmania,5721,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Glenora online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support wi"
2026-06-21T14:34:37+00:00,https://libraries.tas.gov.au/communityoacs/king-island-online-access-centre/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /communityoacs/king-island-online-access-centre/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T14:34:37+00:00,https://libraries.tas.gov.au/communityoacs/lilydale-online-access-centre/,200,Lilydale online access centre - Libraries Tasmania,5763,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Lilydale online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support w"
2026-06-21T14:34:38+00:00,https://libraries.tas.gov.au/communityoacs/ouse-online-access-centre/,200,Ouse online access centre - Libraries Tasmania,5855,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Ouse online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support with "
2026-06-21T14:34:38+00:00,https://libraries.tas.gov.au/communityoacs/richmond-online-access-centre/,200,Richmond online access centre - Libraries Tasmania,5679,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Richmond online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support w"
2026-06-21T14:34:39+00:00,https://libraries.tas.gov.au/communityoacs/st-helens-online-access-centre/,200,St Helens online access centre - Libraries Tasmania,5785,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","St Helens online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support "
2026-06-21T14:34:40+00:00,https://libraries.tas.gov.au/communityoacs/st-marys-online-access-centre/,200,St Marys online access centre - Libraries Tasmania,5705,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","St Marys online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support w"
2026-06-21T14:34:40+00:00,https://libraries.tas.gov.au/communityoacs/swansea-online-access-centre/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /communityoacs/swansea-online-access-centre/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T14:34:40+00:00,https://libraries.tas.gov.au/communityoacs/tullah-online-access-centre/,200,Tullah online access centre - Libraries Tasmania,5721,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Tullah online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support wit"
2026-06-21T14:34:41+00:00,https://libraries.tas.gov.au/communityoacs/woodbridge-online-access-centre/,200,Woodbridge online access centre - Libraries Tasmania,5891,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Woodbridge online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support"
