sample_id,source_population,lead_id,lead_type,constraint_blocker,source_family,route_family,priority_bucket,lead_score,source_name,source_tier,target_state,inferred_year,temporal_signal_present,term_signal_present,place_signal_present,url_domain,duplicate_status,sample_stratum,redaction_note,source_chain_complete,original_source_identifiable,evidence_source_adequate,date_available,term_available,source_stated_place_available,ethics_sensitive,record_eligible,map_eligible,reason_not_eligible,reviewer_notes
audit_011,target_gap_leads,tgl_9d180fc4f5b7aba1b0376722,METADATA_ONLY_1955_1976_LEAD,missing_term,heritage_register,heritage_register,PRIORITY_LEAD,100.0,National Trust Tasmania,B,TAS,1965,1,0,1,nationaltrust.org.au,unchecked,missing_term / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_012,target_gap_leads,tgl_ef6f3c0a121595b6eaf20132,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,OAI_PMH,local_history_serial,GOOD_LEAD,70.0,Royal Western Australian Historical Society,B,WA,,0,0,0,histwest.org.au,unique,missing_date / OAI_PMH,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_013,target_gap_leads,tgl_5747938ca7b7fa6e3be58490,ROBOTS_BLOCKED_NEAR_MISS,missing_date,RSS_ATOM,bibliographic_discovery,HOLD,15.0,Open Library,E,NATIONAL,,0,0,0,openlibrary.org,duplicate,missing_date / RSS_ATOM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_014,target_gap_leads,tgl_e285462dd31b985e1bec9157,DISCOVERY_ONLY_REPLACEMENT_LEAD,missing_date,,state_archive_catalogue,GOOD_LEAD,70.0,Tasmanian Archives,A,TAS,,0,0,0,flickr.com,duplicate,missing_date / (missing),metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_015,target_gap_leads,tgl_5c7e56fbd72a3fcd3d831d9a,PDF_NEWSLETTER_ROUTE_LEAD,missing_date,,museum_heritage_page,WEAK_LEAD,55.0,Queen Victoria Museum and Art Gallery,B,TAS,,0,0,0,qvmag.tas.gov.au,duplicate,missing_date / (missing),metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_016,target_gap_leads,tgl_256221a0b59316a905790f55,METADATA_ONLY_1955_1976_LEAD,missing_term,council_local_studies,council_local_studies,PRIORITY_LEAD,100.0,Mount Gambier Local History,B,SA,1966,1,0,1,mountgambier.sa.gov.au,unchecked,missing_term / council_local_studies,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_017,target_gap_leads,tgl_a010118654bab5253ee3909e,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,local_history_serial,local_history_serial,PRIORITY_LEAD,100.0,Canberra & District Historical Society,B,ACT,1955,1,1,1,canberrahistory.org.au,unchecked,strict_record_gate_not_met / local_history_serial,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_018,target_gap_leads,tgl_47db4dad284e60d98681faed,METADATA_ONLY_1955_1976_LEAD,missing_term,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Queensland Museum Network,B,TAS,1957,1,0,1,museum.qld.gov.au,unchecked,missing_term / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_019,target_gap_leads,tgl_7988121a7e7d62ad90c61e16,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,State Library of Western Australia,A,WA,1958,1,1,1,slwa.wa.gov.au,unchecked,strict_record_gate_not_met / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_020,target_gap_leads,tgl_c093cf745f5f97e4b2b05384,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,OMEKA_API,local_history_serial,GOOD_LEAD,70.0,Royal Western Australian Historical Society,B,WA,,0,0,0,histwest.org.au,unique,missing_date / OMEKA_API,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
