record_id,old_record_id_or_candidate_id,previous_place,previous_latitude,previous_longitude,previous_location_role,current_place_name,current_state_territory,current_country,current_latitude,current_longitude,current_location_type,current_relation_type,current_verification_status,current_geocode_source,source_evidence_text,queue_reason,required_source_place_confirmation,required_gazetteer_coordinate_verification,required_state_match_check,required_not_publication_place_check,required_verification_status_update,promotion_status,review_note
638,638,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1843 - Sydney Morning Herald 2,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1843 - Sydney Morning Herald 2"
641,641,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1847 - Sydney Morning Herald Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1847 - Sydney Morning Herald Article"
644,644,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1866 - Sydney Morning Herald,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1866 - Sydney Morning Herald"
652,652,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"1871 (1) - Empire, Sydney",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1871 (1) - Empire, Sydney"
653,653,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"1871 (2) - Empire, Sydney",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1871 (2) - Empire, Sydney"
655,655,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"1871 (3) - Empire, Sydney",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1871 (3) - Empire, Sydney"
661,661,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1877 - Sydney Morning Herald Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1877 - Sydney Morning Herald Article"
667,667,"Melbourne, VIC",-37.8142454,144.9631732,reported_place,"Melbourne, VIC",VIC,Australia,-37.8142454,144.9631732,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1880 - Melbourne Argus,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Melbourne, Victoria, 3000, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1880 - Melbourne Argus"
669,669,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1880 - Sydney Morning Herald,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1880 - Sydney Morning Herald"
679,679,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1886 - Brisbane Courier,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1886 - Brisbane Courier"
701,701,"Brisbane, QLD",-27.4689623,153.0235009,reported_place,"Brisbane, QLD",QLD,Australia,-27.4689623,153.0235009,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1909 - Brisbane Workers Newspaper,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Brisbane, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1909 - Brisbane Workers Newspaper"
705,705,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1912 - Sydney Morning Herald,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1912 - Sydney Morning Herald"
706,706,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1912 - Sydney Morning Herald Article,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1912 - Sydney Morning Herald Article"
