route_id,classification,processed_candidates,accepted_records,duplicates,context,suppressed,errors,acceptance_rate,last_cursor,known_remaining_pages_or_items,another_run_justified
sprint_internet_archive_lang_queensland_exact_text,discovery_only,27,27,6,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:26:12+00:00""}",0,no
sprint_internet_archive_lawson_joe_wilson_ghost_stories_exact_text,discovery_only,28,27,14,1,0,0,0.9643,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:53:14+00:00""}",0,no
sprint_internet_archive_lumholtz_queensland_exact_text,discovery_only,23,23,0,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:26:12+00:00""}",0,no
sprint_internet_archive_miles_demigods_daemonia_exact_article,discovery_only,19,18,7,1,0,0,0.9474,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:47:51+00:00""}",0,no
sprint_internet_archive_moore_wa_diary_exact_text,discovery_only,19,18,2,1,0,0,0.9474,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:23:19+00:00""}",0,no
sprint_internet_archive_moore_wa_vocabulary_exact_text,discovery_only,17,17,13,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:45:29+00:00""}",0,no
sprint_internet_archive_native_tribes_south_australia_exact_text,discovery_only,21,21,1,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:20:13+00:00""}",0,no
sprint_internet_archive_nicolay_notes_wa_exact_text,discovery_only,8,8,3,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:45:26+00:00""}",0,no
sprint_internet_archive_nisbet_colonial_tramp_beliefs_exact_text,discovery_only,12,11,5,0,0,0,0.9167,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:05:30+00:00""}",0,no
sprint_internet_archive_northern_tribes_central_australia_exact_text,discovery_only,29,29,9,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:36:16+00:00""}",0,no
sprint_internet_archive_peck_australian_legends_exact_text,discovery_only,21,19,6,0,0,0,0.9048,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:36:16+00:00""}",0,no
sprint_internet_archive_ridley_kamilaroi_languages_exact_text,discovery_only,24,23,7,0,0,0,0.9583,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:45:27+00:00""}",0,no
sprint_internet_archive_roth_garson_tasmania_1890_exact_text,discovery_only,25,24,13,1,0,0,0.96,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:45:25+00:00""}",0,no
sprint_internet_archive_roth_nq_burial_ceremonies_exact_article,discovery_only,15,14,9,0,0,0,0.9333,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:47:51+00:00""}",0,no
sprint_internet_archive_roth_queensland_exact_text,discovery_only,30,30,4,0,0,0,1.0,"{""bootstrap_from"": ""collection_sprint_status"", ""exhausted"": true, ""updated_at"": ""2026-06-22T05:12:16+00:00""}",0,no
sprint_internet_archive_roth_tasmania_exact_text,discovery_only,25,25,5,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:23:22+00:00""}",0,no
sprint_internet_archive_sa_folklore_manners_customs_exact_text,discovery_only,16,16,2,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:20:20+00:00""}",0,no
sprint_internet_archive_smyth_victoria_vol1_exact_text,discovery_only,32,29,0,0,0,0,0.9062,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:23:26+00:00""}",0,no
sprint_internet_archive_smyth_victoria_vol2_exact_text,discovery_only,30,30,4,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:23:19+00:00""}",0,no
sprint_internet_archive_suttor_australian_stories_retold_exact_text,discovery_only,16,12,10,3,0,0,0.75,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:40:48+00:00""}",0,no
sprint_internet_archive_suttor_fishers_ghost_exact_section,discovery_only,1,1,0,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:39:18+00:00""}",0,no
sprint_internet_archive_swan_tales_australian_life_exact_text,discovery_only,13,12,1,1,0,0,0.9231,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:40:47+00:00""}",0,no
sprint_ista_central_australia_exact_texts,discovery_only,88,84,6,0,0,0,0.9545,"{""bootstrap_from"": ""collection_sprint_status"", ""exhausted"": true, ""page_index"": 5, ""total_pages"": 5, ""updated_at"": ""2026-06-22T05:12:16+00:00""}",0,no
sprint_ista_northern_australia_exact_texts,discovery_only,32,32,10,0,0,0,1.0,"{""bootstrap_from"": ""collection_sprint_status"", ""exhausted"": true, ""page_index"": 3, ""total_pages"": 3, ""updated_at"": ""2026-06-22T05:12:16+00:00""}",0,no
sprint_map_queue_geocode_verification,productive_but_current_cursor_exhausted,137,62,0,0,0,0,0.4526,"{""exhausted"": true, ""remaining_queue_rows"": 0, ""updated_at"": ""2026-06-22T05:13:05+00:00""}",0,no
sprint_moreton_bay_deception_bay_recollect_ocr,discovery_only,0,0,0,0,0,0,0,"{""exhausted"": true, ""item_index"": 12, ""total_items"": 12, ""updated_at"": ""2026-06-22T07:04:19+00:00""}",0,no
sprint_pga_australian_fairy_tales_exact_texts,discovery_only,58,58,6,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 6, ""total_pages"": 6, ""updated_at"": ""2026-06-22T05:12:22+00:00""}",0,no
sprint_pga_cambridge_at_midnight_haunted_house_exact_text,discovery_only,27,21,9,3,0,0,0.7778,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:08:25+00:00""}",0,no
sprint_pga_clarke_australian_tales_exact_text,discovery_only,19,18,1,1,0,0,0.9474,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:10:08+00:00""}",0,no
sprint_pga_clarke_human_repetends_exact_text,discovery_only,4,3,1,0,0,0,0.75,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:10:06+00:00""}",0,no
sprint_pga_clarke_old_tales_young_country_exact_text,discovery_only,18,12,1,1,0,0,0.6667,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:36:14+00:00""}",0,no
sprint_pga_dyson_below_and_on_top_mine_ghosts_exact_text,discovery_only,36,35,6,0,0,0,0.9722,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:20:21+00:00""}",0,no
sprint_pga_dyson_below_and_on_top_rescan_02,productive_but_current_cursor_exhausted,26,21,56,1,0,0,0.8077,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:27:21+00:00""}",0,no
sprint_pga_favenc_austral_tropics_exact_text,discovery_only,21,18,2,1,0,0,0.8571,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:36:13+00:00""}",0,no
sprint_pga_gaunt_moving_finger_trotting_cob_exact_text,discovery_only,18,17,5,0,0,0,0.9444,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:12:25+00:00""}",0,no
sprint_pga_hume_cook_dandenongs_rescan_exact_texts,productive_but_current_cursor_exhausted,12,11,11,0,0,0,0.9167,"{""exhausted"": true, ""page_index"": 4, ""total_pages"": 4, ""updated_at"": ""2026-06-22T06:27:21+00:00""}",0,no
sprint_project_gutenberg_barry_bunyip_stories,discovery_only,20,20,2,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:16:57+00:00""}",0,no
sprint_project_gutenberg_barry_bunyip_stories_rescan,productive_but_current_cursor_exhausted,25,19,1,2,0,0,0.76,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:27:21+00:00""}",0,no
sprint_project_gutenberg_lawson_children_of_the_bush_exact_text,discovery_only,20,17,6,2,0,0,0.85,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:55:50+00:00""}",0,no
sprint_project_gutenberg_lawson_on_the_track_exact_text,discovery_only,11,11,4,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:55:49+00:00""}",0,no
sprint_project_gutenberg_robertson_australian_tales,discovery_only,22,22,4,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:16:57+00:00""}",0,no
sprint_project_gutenberg_robertson_australian_tales_rescan,productive_but_current_cursor_exhausted,22,18,2,2,0,0,0.8182,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:27:21+00:00""}",0,no
sprint_project_gutenberg_westbury_australian_fairy_tales,discovery_only,32,32,0,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:12:26+00:00""}",0,no
sprint_project_gutenberg_westbury_australian_fairy_tales_rescan,productive_but_current_cursor_exhausted,50,45,6,3,0,0,0.9,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:27:21+00:00""}",0,no
sprint_sa_history_network_directory_probe,exhausted_low_yield,3,0,0,0,0,0,0.0,"{""exhausted"": true, ""updated_at"": ""2026-06-22T05:12:18+00:00""}",0,no
sprint_sacred_texts_nw_wa_customs_traditions_exact_text,discovery_only,12,12,6,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:59:38+00:00""}",0,no
sprint_territory_stories_public_probe,discovery_only,0,0,0,0,0,0,0,"{""exhausted"": true, ""updated_at"": ""2026-06-22T05:12:50+00:00""}",0,no
sprint_victorian_collections_story_probe,discovery_only,0,0,0,0,0,0,0,{},unknown,no
sprint_wikisource_euahlayi_exact_texts,discovery_only,92,92,20,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 16, ""total_pages"": 16, ""updated_at"": ""2026-06-22T05:12:19+00:00""}",0,no
sprint_wikisource_southeast_exact_texts,discovery_only,122,116,20,0,0,0,0.9508,"{""exhausted"": true, ""page_index"": 4, ""total_pages"": 4, ""updated_at"": ""2026-06-22T05:12:17+00:00""}",0,no
sprint_project_gutenberg_australian_legendary_tales_exact_text,untried_configured,0,0,0,0,0,0,0,,configured_not_run,yes_after_frontend_work
