schema_version,legacy_record_id,source_item_id,narrative_id,primary_record_role,migration_confidence,review_flags,title,source_type,source_tier,narrative_type,secondary_role,analysis_status,ethics_review_status,display_mode
2.0.0,124,118,116,first-class narrative source,medium,[],"Blue Knob, New South Wales 2005",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,125,119,117,first-class narrative source,medium,[],"Thredbo, New South Wales 2005",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,126,120,118,first-class narrative source,medium,[],"Colo Heights, New South Wales 2006",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,127,121,119,first-class narrative source,medium,[],"Hartley, New South Wales 2007",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,128,122,120,first-class narrative source,medium,[],"Bongil Bongil, New South Wales 2008",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,129,123,121,first-class narrative source,medium,[],"Coonabarabran, New South Wales 2009",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,130,124,122,first-class narrative source,medium,[],"Broken Hill, New South Wales 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,131,125,123,first-class narrative source,medium,[],"Macquarie Pass - Robertson, New South Wales 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,132,126,124,first-class narrative source,medium,[],"Watagans, New South Wales 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,133,127,125,first-class narrative source,medium,[],"Dorrigo, New South Wales 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,134,128,126,first-class narrative source,medium,[],"Wentworth Falls, New South Wales 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,135,129,127,first-class narrative source,medium,[],"Munmorah, New South Wales 2012",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,136,130,128,first-class narrative source,medium,[],"Wingello, New South Wales 2012",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,137,131,129,first-class narrative source,medium,[],"Hawkesburry River, New South Wales 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,138,132,130,first-class narrative source,medium,[],"Parkes, New South Wales 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,139,133,131,first-class narrative source,medium,[],"Tucabia, New South Wales 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,140,134,132,first-class narrative source,medium,[],"Nemingha, New South Wales 2014",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,141,135,133,first-class narrative source,medium,[],"Coramba, New South Wales 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,142,136,134,first-class narrative source,medium,[],"Mt. Keira, New South Wales 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,143,137,135,first-class narrative source,medium,[],"Kiah, New South Wales 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,144,138,136,first-class narrative source,medium,[],"Lawrence, New South Wales 2017",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,145,139,137,first-class narrative source,medium,[],"Wingello, New South Wales 2017",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,146,140,138,first-class narrative source,medium,[],"Grafton, New South Wales 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,147,141,139,first-class narrative source,medium,[],"Wingen, New South Wales 2019",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,148,142,140,first-class narrative source,medium,[],"Nightcap NP, New South Wales 2022",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,149,143,141,first-class narrative source,medium,"[""original_article_verification_required""]","Charters Towers, Queensland 1932",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,150,144,142,first-class narrative source,medium,"[""original_article_verification_required""]","Aramara, Queensland 1950",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,151,145,143,first-class narrative source,medium,[],"Burleigh, Queensland 1973",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,152,146,144,first-class narrative source,medium,[],"Canungra, Queensland 1978",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,153,147,145,first-class narrative source,medium,[],"Nerang, Queensland 1978",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,154,148,146,first-class narrative source,medium,[],"Charters Towers, Queensland 1979 (2)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,155,149,147,first-class narrative source,medium,[],"Mt. Isa, Queensland 1979",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,156,150,148,first-class narrative source,medium,[],"Kilcoy, Queensland 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,157,151,149,first-class narrative source,medium,[],"Springbrook, Queensland 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,158,152,150,first-class narrative source,medium,[],"Cunninghams Gap, Queensland 1981",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,159,153,151,first-class narrative source,medium,[],"Worongary, Queensland 1982",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,160,154,152,first-class narrative source,medium,[],"Springbrook, Queensland 1984",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,161,155,153,first-class narrative source,medium,[],"Gympie (East), Queensland 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,162,156,154,first-class narrative source,medium,[],"Worongary, Queensland 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,163,157,155,first-class narrative source,medium,[],"Mt. Superbus, Queensland 1986",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,164,158,156,first-class narrative source,medium,[],"Gympie (East), Queensland 1989",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,165,159,157,first-class narrative source,medium,[],"Eudlo, Queensland 1990",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,166,160,158,first-class narrative source,medium,[],"Canungra, Queensland 1991",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,167,161,159,first-class narrative source,medium,[],"Tin Can Bay, Queensland 1992 (1)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,168,162,160,first-class narrative source,medium,[],"Kilcoy, Queensland 1993",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,169,163,161,first-class narrative source,medium,[],"McPherson Ranges, Queensland 1995",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,170,164,162,first-class narrative source,medium,[],"Rockhampton, Queensland 1995",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,171,165,163,first-class narrative source,medium,[],"Molendinar, Queensland 1996",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,172,166,164,first-class narrative source,medium,[],"Camira, Queensland 1997",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,173,167,165,first-class narrative source,medium,[],"Ormeau, Queensland 1997",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,174,168,166,first-class narrative source,medium,[],"Bribie Island, Queensland 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,175,169,167,first-class narrative source,medium,[],"Kenilworth, Queensland 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,176,170,168,first-class narrative source,medium,[],"Scotchy Pocket, Queensland 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,177,171,169,first-class narrative source,medium,[],"Daisy Hill, Queensland 1999",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,178,172,170,first-class narrative source,medium,[],"Booreen Point, Queensland 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,179,173,171,first-class narrative source,medium,[],"Gayndah, Queensland 2000 (2)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,180,174,172,first-class narrative source,medium,[],"Kilcoy, Queensland 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,181,175,173,first-class narrative source,medium,[],"Tully, Queensland 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,182,176,174,first-class narrative source,medium,[],"Laidley, Queensland 2001 (2)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,183,177,175,first-class narrative source,medium,[],"Beerwah, Queensland 2002",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,184,178,176,first-class narrative source,medium,[],"Glasshouse Mtns, Queensland 2003",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,185,179,177,first-class narrative source,medium,[],"Tin Can Bay, Queensland 2003",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,186,180,178,first-class narrative source,medium,[],"Lamington NP, Queensland 2004",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,187,181,179,first-class narrative source,medium,[],"Canarvon Gorge, Queensland 2005",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,188,182,180,first-class narrative source,medium,[],"Ormeau, Queensland 2005",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,189,183,181,first-class narrative source,medium,[],"Mapleton, Queensland 2006",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,190,184,182,first-class narrative source,medium,[],"Alpha, Queensland 2007",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,191,185,183,first-class narrative source,medium,[],Uki Qld 2007,modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,192,186,184,first-class narrative source,medium,[],"Leyburn, Queensland 2008",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,193,187,185,first-class narrative source,medium,[],"Kilkivan, Queensland 2009",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,194,188,186,first-class narrative source,medium,[],"Eumundi - Yandina, Queensland 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,195,189,187,first-class narrative source,medium,[],"Oak Beach, Queensland 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,196,190,188,first-class narrative source,medium,[],"Koumala Range, Queensland 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,197,191,189,first-class narrative source,medium,[],"Miriam Vale, Queensland 2012",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,198,192,190,first-class narrative source,medium,[],"Bribie Island, Queensland 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,199,193,191,first-class narrative source,medium,[],"Laidley, Queensland 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,200,194,192,first-class narrative source,medium,[],"Deepwater National Park, Queensland 2014",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
