record_id,title,source_name,source_type,state_territory,date_band,year,ontology_code,url
1765,"ghost in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1766,"ghost in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1767,"ghost in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1768,"supernatural in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1769,"devil in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1770,"devil in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1771,"wizard in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1772,"wizard in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1773,"wizard in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1774,"witch in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1775,"witch in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,retelling_or_adaptation,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
