population_kind,frontend_join_key,record_id,narrative_unit_id,legacy_map_id,location_id,source_name,source_file,title,year,lat,lng,state,source_url,source_stated_place_text,location_role,coordinate_precision,geocode_confidence,review_status,notes
canonical_frontend_public_record,record_id:642,642,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1851 - John Green Diary Entries,1851,,,QLD,https://www.yowiehunters.com.au/historical-articles/1516-john-green-diary-entries-1851,,,,,,frontend records row
canonical_frontend_public_record,record_id:2102,2102,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"demon in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2103,2103,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"demon in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2104,2104,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"evil spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2105,2105,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2106,2106,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2107,2107,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"evil spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2108,2108,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"evil spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2109,2109,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"phantom in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2110,2110,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"ghosts in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2111,2111,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2112,2112,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2113,2113,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2114,2114,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2115,2115,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2116,2116,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,-31.9319845,115.9190544,WA,https://archive.org/download/jstor-3014132/3014132_djvu.txt,"Swan River, WA",narrative_setting,named_feature,high,verified_gazetteer_point,frontend records row
canonical_frontend_public_record,record_id:2117,2117,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"ghosts in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2118,2118,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"supernatural in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,,,,https://archive.org/download/jstor-3014132/3014132_djvu.txt,,,,,,frontend records row
